CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Gldanshi,7.0,49.0,2.0,1.0,0.0,3.0,135855.0,Newly Constructed,1.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,6.0,131.0,3.0,2.0,1.0,6.0,733617.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Isanshi,15.0,90.0,3.0,2.0,0.0,12.0,293447.0,Newly Constructed,1.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,11.0,85.0,3.0,1.0,0.0,10.0,339638.0,Newly Constructed,1.0,Newly Renovated,Gas Heater,1.0,0,0,1,0,0,0,0,0,0,0
Isanshi,22.0,54.0,2.0,1.0,0.0,3.0,374960.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Avlabarshi,4.0,57.0,2.0,1.0,0.0,3.0,353223.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,12.0,78.0,3.0,2.0,0.0,3.0,326052.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,10.0,115.0,3.0,2.0,0.0,5.0,733617.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,12.0,145.0,5.0,2.0,1.0,12.0,589611.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,1,1,1,1,1,1,1,1,1,1
Saburtaloze,32.0,212.0,4.0,3.0,0.0,27.0,1412892.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,24.0,62.0,2.0,1.0,0.0,7.0,454843.0,Newly Constructed,1.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,24.0,112.0,3.0,2.0,0.0,9.0,638519.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,24.0,142.0,5.0,4.0,0.0,12.0,790676.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,24.0,195.0,6.0,4.0,0.0,9.0,1059669.0,Newly Constructed,3.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,24.0,97.0,3.0,2.0,0.0,11.0,537986.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,19.0,194.0,6.0,4.0,0.0,11.0,2744271.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
